"DateTime","Investors","Founders"
"2100-01-01 00:00:00",0,200000
"2100-04-01 00:00:00",25000,200000
"2100-07-01 00:00:00",25000,200000
"2100-10-01 00:00:00",25000,200000
"2101-01-01 00:00:00",25000,200000
